File,SensorId,Sensor_Location,Feature,Tiro_A,Tiro_B,DTW_Distance
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,5,1.223940789699555
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,4,0.151250422000884
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,5,0.9054899215698243
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,4,5,1.0567403435707101
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,2,0.015544772148131951
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,3,0.08386376500129686
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,4,0.048594862222670926
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,5,0.13866558670997595
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,3,0.06831899285316471
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,4,0.03305009007453898
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,5,0.12312081456184272
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,4,0.03526890277862551
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,5,0.05480182170867699
data_P2_tanda_3.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,4,5,0.09007072448730279
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,2,0.03387540823194983
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,3,0.04689819493855552
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,4,0.02097494939844709
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,5,0.15834124605331273
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,3,0.06230666464897883
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,4,0.03755068833974896
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,5,0.13055685791418215
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,4,0.043287780412214205
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,5,0.13895219407672757
data_P2_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,4,5,0.1266600533103744
data_P2_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,2,0.35915297269821206
data_P2_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,3,0.4089664816856388
data_P2_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,4,0.1975938677787782
